Type,Description,Owner,Impact,Likelihood,Response,Due Date
Risk,"Default/public ACR Task pool is Azure-managed compute and is not inside the customer VNet, which may raise security boundary concerns if used for sensitive or internal builds.",My Team / Security Team,High,Medium,Limit default/public pool usage to bootstrap or non-sensitive build activities. Use the dedicated private ACR agent pool for internalized builds requiring private network access.,TBD
Risk,"Security gate thresholds may not be strict enough, allowing vulnerable images to progress to nonprod or production.",My Team / Security Team,High,Medium,"Define Trivy severity thresholds, fail conditions, exception handling, and POA&M requirements before promotion.",TBD
Risk,"Trivy and JFrog Xray may identify different findings, creating potential blind spots if only one scanner is treated as authoritative.",My Team / Security Team,Medium,Medium,"Treat Trivy as an additive CI/CD gate, not a replacement for existing Xray controls. Compare scanner results during rollout.",TBD
Risk,"GitHub Actions, ACR Tasks, AKS, or ACR availability issues could delay image builds or promotions.",My Team,Medium,Low,"Document retry procedures, manual break-glass process, and dependency ownership.",TBD
Risk,An image could be promoted before all nonprod runner groups are validated.,My Team,High,Medium,Require runs-on validation across all required runner groups before promotion gate approval.,TBD
Risk,Generated POA&M entries may lack enough context for security review or audit use.,My Team / Security Team,Medium,Medium,"Define required POA&M fields, ownership, severity mapping, evidence links, and review workflow.",TBD
Issue,"Current process builds runner images separately by environment, creating inconsistency between nonprod and prod and duplicating work.",My Team,High,High,"Implement a build once, validate in nonprod, promote to prod image promotion model.",TBD
Issue,Approved routine maintenance still requires someone to manually log in during an off-hours window and click a workflow.,My Team,High,High,"Replace manual execution with scheduled workflow execution, gated promotion, and automated validation.",TBD
Issue,"Basic runner image maintenance requires repeated security review board approval, slowing normal patching and maintenance cycles.",My Team / Security Team,High,High,Create a pre-approved automated maintenance pattern with evidence-based gates and defined exception handling.,TBD
Issue,"JFrog Xray may block future pulls, but a build can continue after an image was already pulled, creating a CI/CD enforcement gap.",My Team / Security Team,High,Medium,Add a Trivy-based CI/CD security gate that evaluates the built artifact before nonprod deployment or production promotion.,TBD
Issue,"Current manual process does not consistently capture who approved the image, what was built, what was scanned, and what was deployed.",My Team,Medium,High,"Capture commit SHA, image digest, scan result, SBOM, POA&M output, approvals, deployment status, and release metadata.",TBD
Dependency,"Security team must review and approve scan thresholds, fail criteria, exception handling, and POA&M output.",Security Team / My Team,High,High,Schedule security review and document the approved security gate policy.,TBD
Dependency,Security and platform teams must review the use of the default/public ACR Task pool for bootstrap and the dedicated private ACR agent pool for internalized builds.,Security Team / Platform Team / My Team,High,High,Present the boundary diagram and document allowed use cases for each ACR agent pool.,TBD
Dependency,"GitHub OIDC federation and Azure RBAC permissions must be configured for ACR, AKS, and deployment actions.",My Team / Cloud IAM,High,Medium,Create federated credentials and assign least-privilege Azure RBAC roles.,TBD
Dependency,"Dedicated private ACR agent pool must be attached to the correct VNet/subnet and allowed to reach internal JFrog, internal CA, ACR, DNS, and required services.",Network Team / Platform Team / My Team,High,Medium,"Validate routing, DNS, firewall rules, private endpoints, and required egress paths.",TBD
Dependency,Repository dispatch workflow must exist and accept image version tags for downstream Terraform/Helm deployment.,My Team,Medium,Medium,Implement dispatch payload contract and downstream workflow.,TBD
Dependency,Nonprod and production runner groups must have validation workflows that confirm new images can pick up jobs successfully.,My Team,High,Medium,Create runs-on validation workflows for all required runner groups.,TBD
Dependency,"Build logs, SBOMs, scan reports, POA&M artifacts, and release metadata need an approved storage and retention location.",Security Team / Compliance / My Team,Medium,Medium,"Define approved evidence repository, retention period, and access control.",TBD
Decision,"Approve moving from per-environment image builds to a build once, validate, and promote model.",Voting Members / My Team,High,High,Approve the nonprod-to-prod image promotion model as the target operating model.,TBD
Decision,Determine what vulnerability severity levels block promotion and what findings require POA&M or exception handling.,Security Team / Voting Members,High,High,"Approve Trivy/security gate policy, severity thresholds, and exception process.",TBD
Decision,Decide whether the default/public ACR Task pool is acceptable for bootstrap builds only.,Security Team / Platform Team / Voting Members,High,High,Approve limited use of the default/public pool for non-sensitive bootstrap stage only.,TBD
Decision,"Approve use of the dedicated private ACR agent pool for internalized builds that require internal CA, JFrog mirror, and private configuration.",Security Team / Platform Team / Voting Members,High,High,Approve private ACR agent pool as required for sensitive/internal image build stages.,TBD
Decision,"Determine what event marks an image as production approved: promotion gate approval, production validation success, or GitHub release creation.",Voting Members / My Team,Medium,Medium,Define the official release approval point and update process documentation.,TBD
Decision,Determine whether generated POA&M artifacts are stored as pipeline evidence initially or integrated directly into a formal GRC process.,Security Team / Compliance / Voting Members,Medium,Medium,Approve initial POA&M handling approach and future integration path.,TBD
Tech Debt,Initial POA&M entries may be generated as files or pipeline artifacts rather than integrated directly into a GRC platform.,My Team / Security Team,Medium,High,"Accept for initial release to deliver immediate visibility, with a future enhancement to integrate into formal GRC tooling.",TBD
Tech Debt,First implementation may use Trivy as the primary CI/CD gate while JFrog Xray remains separate.,My Team / Security Team,Medium,High,Accept for initial release to provide immediate CI/CD enforcement while planning future scanner correlation.,TBD
Tech Debt,Promotion may initially require manual approval in GitHub rather than full integration with enterprise change management tooling.,My Team,Medium,High,Accept for controlled rollout while formal change-management integration is defined.,TBD
Tech Debt,Exceptions may initially be documented in POA&M artifacts or review comments rather than a fully automated risk acceptance workflow.,My Team / Security Team,Medium,High,Accept for initial release so the security gate can launch without waiting for full exception workflow automation.,TBD
Tech Debt,Bootstrap build may use Azure-managed default/public ACR Task compute outside the customer VNet.,My Team / Security Team,Medium,Medium,Use only for low-sensitivity bootstrap build to reduce complexity. Internalized builds use the private ACR agent pool.,TBD
